first_name,last_name,state,party,years_house,years_senate
Tammy,Baldwin,Wisconsin,Democratic,1999-2013,2013-Present
John,Barrasso,Wyoming,Republican,,2007-Present
Michael F.,Bennet,Colorado,Democratic,,2009-Present
Marsha,Blackburn,Tennessee,Republican,2003-2019,2019-Present
Richard,Blumenthal,Connecticut,Democratic,,2011-Present
Cory A.,Booker,New Jersey,Democratic,,2013-Present
John,Boozman,Arkansas,Republican,2001-2011,2011-Present
Mike,Braun,Indiana,Republican,,2019-2025
Katie Boyd,Britt,Alabama,Republican,,2023-Present
Sherrod,Brown,Ohio,Democratic,1993-2007,2007-2025
Ted,Budd,North Carolina,Republican,2017-2023,2023-Present
Laphonza R.,Butler,California,Democratic,,2023-2024
Maria,Cantwell,Washington,Democratic,1993-1995,2001-Present
Shelley Moore,Capito,West Virginia,Republican,2001-2015,2015-Present
Benjamin L.,Cardin,Maryland,Democratic,1987-2007,2007-2025
Thomas R.,Carper,Delaware,Democratic,1983-1993,2001-2025
Robert P.,Casey Jr.,Pennsylvania,Democratic,,2007-2025
Bill,Cassidy,Louisiana,Republican,2009-2015,2015-Present
Susan M.,Collins,Maine,Republican,,1997-Present
Christopher A.,Coons,Delaware,Democratic,,2010-Present
John,Cornyn,Texas,Republican,,2002-Present
Catherine,Cortez Masto,Nevada,Democratic,,2017-Present
Tom,Cotton,Arkansas,Republican,2013-2015,2015-Present
Kevin,Cramer,North Dakota,Republican,2013-2019,2019-Present
Mike,Crapo,Idaho,Republican,1993-1999,1999-Present
Ted,Cruz,Texas,Republican,,2013-Present
Steve,Daines,Montana,Republican,2013-2015,2015-Present
Tammy,Duckworth,Illinois,Democratic,2013-2017,2017-Present
Richard J.,Durbin,Illinois,Democratic,1983-1997,1997-Present
Joni,Ernst,Iowa,Republican,,2015-Present
Dianne,Feinstein,California,Democratic,,1992-2023
John,Fetterman,Pennsylvania,Democratic,,2023-Present
Deb,Fischer,Nebraska,Republican,,2013-Present
Kirsten E.,Gillibrand,New York,Democratic,2007-2009,2009-Present
Lindsey,Graham,South Carolina,Republican,1995-2003,2003-Present
Chuck,Grassley,Iowa,Republican,1975-1981,1981-Present
Bill,Hagerty,Tennessee,Republican,,2021-Present
Margaret Wood,Hassan,New Hampshire,Democratic,,2017-Present
Josh,Hawley,Missouri,Republican,,2019-Present
Martin,Heinrich,New Mexico,Democratic,2009-2013,2013-Present
George S.,Helmy,New Jersey,Democratic,,2024
John W.,Hickenlooper,Colorado,Democratic,,2021-Present
Mazie K.,Hirono,Hawaii,Democratic,2007-2013,2013-Present
John,Hoeven,North Dakota,Republican,,2011-Present
Cindy,Hyde-Smith,Mississippi,Republican,,2018-Present
Ron,Johnson,Wisconsin,Republican,,2011-Present
Tim,Kaine,Virginia,Democratic,,2013-Present
Mark,Kelly,Arizona,Democratic,,2020-Present
John,Kennedy,Louisiana,Republican,,2017-Present
Andy,Kim,New Jersey,Democratic,2019-2024,2024-Present
Angus S.,King Jr.,Maine,Independent,,2013-Present
Amy,Klobuchar,Minnesota,Democratic,,2007-Present
James,Lankford,Oklahoma,Republican,2011-2015,2015-Present
Mike,Lee,Utah,Republican,,2011-Present
Ben Ray,Lujan,New Mexico,Democratic,2009-2021,2021-Present
Cynthia M.,Lummis,Wyoming,Republican,2009-2017,2021-Present
Joe,Manchin III,West Virginia,Independent,,2010-2025
Edward J.,Markey,Massachusetts,Democratic,1977-2013,2013-Present
Roger,Marshall,Kansas,Republican,2017-2021,2021-Present
Mitch,McConnell,Kentucky,Republican,,1985-Present
Robert,Menendez,New Jersey,Democratic,1993-2006,2006-2024
Jeff,Merkley,Oregon,Democratic,,2009-Present
Jerry,Moran,Kansas,Republican,1997-2011,2011-Present
Markwayne,Mullin,Oklahoma,Republican,2013-2023,2023-Present
Lisa,Murkowski,Alaska,Republican,,2002-Present
Christopher,Murphy,Connecticut,Democratic,2007-2013,2013-Present
Patty,Murray,Washington,Democratic,,1993-Present
Jon,Ossoff,Georgia,Democratic,,2021-Present
Alex,Padilla,California,Democratic,,2021-Present
Rand,Paul,Kentucky,Republican,,2011-Present
Gary C.,Peters,Michigan,Democratic,2009-2015,2015-Present
Jack,Reed,Rhode Island,Democratic,1991-1997,1997-Present
Pete,Ricketts,Nebraska,Republican,,2023-Present
James E.,Risch,Idaho,Republican,,2009-Present
Mitt,Romney,Utah,Republican,,2019-2025
Jacky,Rosen,Nevada,Democratic,2017-2019,2019-Present
Mike,Rounds,South Dakota,Republican,,2015-Present
Marco,Rubio,Florida,Republican,,2011-2025
Bernard,Sanders,Vermont,Independent,1991-2007,2007-Present
Ben,Sasse,Nebraska,Republican,,2015-2023
Brian,Schatz,Hawaii,Democratic,,2012-Present
Adam B.,Schiff,California,Democratic,2001-2024,2024-Present
Eric,Schmitt,Missouri,Republican,,2023-Present
Charles E.,Schumer,New York,Democratic,1981-1999,1999-Present
Rick,Scott,Florida,Republican,,2019-Present
Tim,Scott,South Carolina,Republican,2011-2013,2013-Present
Jeanne,Shaheen,New Hampshire,Democratic,,2009-Present
Kyrsten,Sinema,Arizona,Independent,2013-2019,2019-2025
Tina,Smith,Minnesota,Democratic,,2018-Present
Debbie,Stabenow,Michigan,Democratic,1997-2001,2001-2025
Dan,Sullivan,Alaska,Republican,,2015-Present
Jon,Tester,Montana,Democratic,,2007-2025
John,Thune,South Dakota,Republican,1997-2003,2005-Present
Thomas,Tillis,North Carolina,Republican,,2015-Present
Tommy,Tuberville,Alabama,Republican,,2021-Present
Chris,Van Hollen,Maryland,Democratic,2003-2017,2017-Present
J. D.,Vance,Ohio,Republican,,2023-2025
Mark R.,Warner,Virginia,Democratic,,2009-Present
Raphael G.,Warnock,Georgia,Democratic,,2021-Present
Elizabeth,Warren,Massachusetts,Democratic,,2013-Present
Peter,Welch,Vermont,Democratic,2007-2023,2023-Present
Sheldon,Whitehouse,Rhode Island,Democratic,,2007-Present
Roger F.,Wicker,Mississippi,Republican,1995-2007,2007-Present
Ron,Wyden,Oregon,Democratic,1981-1996,1996-Present
Todd,Young,Indiana,Republican,2011-2017,2017-Present
